12,"Điểm 1 mục II phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 122",Bài tập quản lý,"Đẻ đảm bảo an ninh biển đảo và chống buôn lậu, gian lận thương mại trên biển, Cục Hải quan tỉnh X và Bộ Tư lệnh vùng cảnh sát biển đã ký quy chế phối họp vào ngày 20/5/2020. Tuy nhiên, sau một thời gian quy chế có hiệu lực, kết quả thực hiện quy chế không đem lại kết quả như mong đợi. Theo anh/chị, nội dung nào sau đây là khó khăn của cơ quan Hải quan khi phối họp với lực lượng cảnh sát biển?",Việc thực hiện chế độ thông tin báo cáo chưa kịp thời,Bộ Tư lệnh vùng cảnh sát biển thường đề xuất nhiều yêu cầu phối hợp,3
,,,,Cục Hải quan tỉnh X và Bộ Tư lệnh vùng cảnh sát biển chưa chủ động thực hiện quy chế phối hợp,Đôi khi công chức thuộc Cục phải xin ý kiến lực lượng cảnh sát biển khi xử lý một số vụ việc cụ thể theo quy chế phối hợp,
,,,,Công tác phối hợp chưa đảm bảo về thời hạn,Lãng phí thời gian của Lãnh đạo Cục để tham dự cuộc họp bàn giữa hai bên,
,,,,Việc phối hợp còn mang nặng tính hình thức,,
13,"Điểm 2 mục II phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 122",Bài tập quản lý,"Để nâng cao hiệu quả công tác quản lý nhà nước trong lĩnh vực thuế - hải quan, đặc biệt là công tác thu ngân sách, ngày 15/11/2019, Cục Hải quan tỉnh X đã ký quy chế phối hợp với Cục Thuế tỉnh X. Qua một thời gian triển khai, quy chế phối hợp vẫn chưa đem lại kết quả như mong đợi. Anh/chị hãy cho biết nguyên nhân có thể có dẫn đến những hạn chế khi Cục hải quan X phối hợp với Cục Thuế tỉnhX?",Cách hiểu của công chức hải quan Cục hải quan tỉnh X chưa thống nhất với cách hiểu của công chức Cục Thuế tỉnh X,Nhận thức về triển khai quy chế phối hợp của công chức thực hiện Cục Hải quan tỉnh X thống nhất với đội ngũ thực hiện Cục Thuế tỉnhX,3
,,,,Nhận thức về công tác quản lý nhà nước về thuế-hải quan còn mang tính cục bộ của mỗi ngành,Đội ngũ triển khai quy chế phối hợp của Cục Hải quan tỉnh X chủ động thực hiện phần việc của mình,
,,,,Công chức Cục Thuế tỉnh X khi triển khai quy chế không nắm đầy đủ quy định pháp luật,Đội ngũ triển khai quy chế phối hợp của Cục Thuế tỉnh X chủ động thực hiện phần việc của mình,
,,,,Công chức Cục Hải quan X chưa tâm huyết với nhiệm vụ được giao sau khi quy chế có hiệu lực,Nêu cao tinh thần cạnh tranh lành mạnh giữa Cục Hải quan tỉnh X với Cục Thuế tỉnh X,
,,,,Lãnh đạo Cục Hải quan tỉnh X chưa quan tâm sâu sát trong quá trình triển khai quy chế phối hợp,,
,,,,Lãnh đạo Cục Thuế tỉnh X chưa quan tập sâu sát trong quá trình triển khai quy chế phối hợp,,
,,,,Cục Hải quan tỉnh X và Cục Thuế tỉnh X chưa tồ chức rút kinh nghiệm chung để khắc phục tồn tại,,
14,"Điểm 4 mục II phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 124",Bài tập quản lý,"Ngày 15/8/2020, Cục trưởng Nguyễn.V.Trung ký quyết định thành lập Nhóm triển khai ứng dụng phần mềm mới, do bà Lê T. Hoa, trưởng phòng nghiệp vụ làm trưởng nhóm và 07 thành viên Chi, Huyền, Hoàng, Hùng, Khang, Minh, Lan đến từ các phòng, Chi cục khác nhau. Sau một thời gian hoạt động, bà Hoa nhận thấy Nhóm hoạt động không hiệu quả nên đã báo cáo ông Trung. Sau khi tìm hiểu tình hình, ông Trung đã tìm ra lý do tại sao nhóm hoạt động không hiệu quả. Theo các anh chị đâu là nguyên nhân dẫn đến tình trạng trên?","Chưa có cơ chế thường xuyên chia sẻ ý kiến, thông tin giữa các thành viên","Khang, Lan, Huyền thường trò chuyện, tâm sự về công việ, gia đình với nhau",2
,,,,"Chi, Huyền, Hùng, Hoàng thường cạnh tranh, ganh đua với nhau khi triển khai nhiệm vụ","Minh còn trẻ, chưa vướng bận gia đình nhưng ít tham dự các cuộc giao lưu ngoài giờ làm việc của nhóm",
,,,,Hoàng không chia sẻ kêt quả rà soát tình hình thực tế tại Chi cục của anh cho cả nhóm mà chỉ báo cáo trực tiếp lãnh đạo Cục,"Lan nhờ Khang giải thích cho mình những nội dung mới, khó",
,,,,"Hùng thường không lắng nghe ý kiến của các thành viên trong nhóm, phản bác tất cả các quyết định của nhóm trong các cuộc họp",Chi hay đặt ra nhiều câu hỏi trong các cuộc họp nhóm,-
,,,,Khang là thành viên nắm chắc nhất kiến thức về phần mềm nhưng không hỗ trợ các thành viên khác và không chủ động thực hiện các nhiệm vụ được giao,"Hùng hay phát biểu dài trong các cuộc họp, làm mất thời gian của nhóm ",
,,,,Minh gặp khó khăn khi triểiì khai công việc ngay trong tuần đầu tiên nhưng không báo cáo dẫn đến tiến độ bị chậm so với kế hoạch,,
,,,,Khang thường nhờ Lan làm hộ phần việc của mình,,
,,,,"Khi Minh gặp sai sót, các thành viên còn lại chỉ trách mắng, không giúp đỡ Minh khắc phục hậu quả",,
,,,,"Huyền luôn ôm đồm nhiều việc về mình nhưng không xử lý kịp, làm chậm tiến độ cả nhóm",,
,,,,"Khi được giao việc, Lan luôn chủ động thực hiện. Tuy nhiên, khi gặp những nội dung mới, khó, cô không nhờ mọi người hỗ trợ, giúp đỡ",,
