56,"Điểm 2 Mục I phần I Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tồ, Đội trang 107",Bài tập quản lý,"Tháng 03/2020, Văn phòng Cục Hải quan X tiếp nhận 3 công chức mới: bà Hoa, ông Bảo, ông Trung. Sau một thời gian tập sự, ông Lê.V.Bình, Chánh văn phòng phân công 3 công chức nêu trên một số công việc phù hợp với năng lực. Theo anh/chị, việc phân công công việc có ý nghĩa gì đối với",bà Hoa,9,,,Phát triển chuyên môn,Điều hòa được công việc của Văn phòng Cục,3
,,,,ông Bảo,,,,Nâng cao kỹ năng xử lý tình huống,Có thêm nhiều thời gian đê xử lý công việc khác,
,,,,ông Trung,,,,Nâng cao kỹ năng giải quyết vấn đề,"Có cơ hội phát triển kỹ năng lãnh đạo, quản lý",
,,,,,,,,Phát triển kỹ năng quản lý thời gian,,
,,,,,,,,Phát triển kỹ năng ra quyết định,,
,,,,ông Bình,,,,Điều hòa được công việc của Văn phòng Cục,Hiểu được tâm tư nguyện vọng của công chức thuộc quyền,3
,,,,,,,,Có thêm thời gian cho ông Bình quản lý Văn phòng Cục,Có thời gian làm việc mình thích,
,,,,,,,,Có thêm thời gian cho việc kiểm soát công việc,,
,,,,,,,,Củng cố quyền hạn của ông Bình,,
,,,,,,,,"Củng cố trách nhiệm của ông Bình trong việc quản lý, giám sát nhân viên",,
57,"Điểm 4 Mục IPhầnl chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 109",Bài tập quản lý,"Ngày 20/01/2020, trước xu hướng ngày càng nhiều kho bãi, địa điểm làm thủ tục Hải quan được thành lập và hoạt động trên địa bàn tỉnh X, ông Nguyễn Văn A, Cục trưởng Cục Hải quan X quyết định xây dựng phần mềm Quản lý kho bãi, đại điểm làm thủ tục Hải quan của Cục. Theo anh/chị, ông A cần lưu ý gì để đảm bảo nguyên tắc",dụng nhân như dụng mộc,khi phân công công việc?,,,"Tìm kiếm công chức có kinh nghiệm quản lý kho bãi, địa điểm/xây dựng phần mềm đang công tác tại các phòng ban, Chi cục của Cục",Tìm kiếm công chức có máy tính hiện đại để thuận lợi cho việc xây dựng phần mềm,3
,,,,,,,,"Lựa chọn công chức có năng lực quản lý kho bãi, địa điểm/xây dựng phần mềm đang công tác tại các phòng ban, Chi cục của Cục","Lựa chọn công chức không vướng bận gia đình có điều kiện làm thêm ngoài giờ, đảm bảo tiến độ xây dựng phần mềm",
,,,,,,,,"Chọn công chức nhiệt tình với việc xây dựng phần mềm Quản lý kho bãi, đại điểm làm thủ tục Hải quan của Cục",,
,,,,,,,,"Lựa chọn công chức luôn hăng say với công việc, mong muốn tham gia các hoạt động đồi mới, cải cách hiện đại hóa của Cục",,
,,,,phân chia chức năng nghiệp vụ có tính đồng nhất,,,,Giao phòng Công nghệ thông tin chủ trì phối hợp với các đom vị thuộc và trực thuộc Cục xây dựng phần mềm,Giao các phòng thuộc Cục xây dựng phần mềm,2
,,,Ị,,,,,"Giao phòng Giám sát quản lý chủ trì, phối hợp với các đơn vị thuộc và trực thuộc Cục xây dựng bài toán nghiệp vụ quản lý kho bãi, địa điểm",Giao các phòng thuộc Cục xây dụng bài toán nghiệp vụ,
,,,,,,,,,Giao các Chi cục xây dựng phần mềm,
,,,,,,,,,Giao các Chi cục xây dựng bài toán nghiệp vụ,
,,,,cân bằng về chức năng nghiệp vụ,,,,"Phòng Công nghệ thông tin chủ trì xây dựng phần mềm, phòng Giám sát quản lý chủ trì xây dựng bài toàn nghiệp vụ, các Chi cục tạo điều kiện cử công chức có kinh nghiệm về xây dựng phần mềm/ quản lý kho bãi địa điểm tham gia","Yêu cầu các Chi cục xây dựng phần mềm, ông A lựa chọn phần mềm phù hợp nhất với tình hình thực tế của Cục",3
,,,,,,,,"Thành lập 02 nhóm triển khai xây dựng bài toán nghiệp vụ và xây dựng phần mềm; Phân công trưởng nhóm, phó trưởng nhóm chịu trách nhiệm chính",Yêu cầu các phòng thuộc Cục xây dựng bài toán nghiệp vụ phù hợp với các tiêu chí đã đưa ra,
,,,,,,,,Quy định cơ chế phối hợp giữa 2 nhóm,Quy định hai nhóm làm riêng rẽ để đảm bảo tính khách quan,
,,,,,,,,"Yêu cầu các nhóm trưởng lập bảng phân công cho các thành viên nhóm một cách cụ thế, công bằng",,
58,"Điểm 2 Mục I phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tồ, Đội trang 115",Bài tập quản lý,Cục Hải quan X có kế hoạch tham vấn với,Hiệp hội doanh nghiệp nhỏ và vừa,"•Trưởng phòng Lê.V.Bình được lãnh đạo Cục giao nhiệm vụ: Căn cứ kế hoạch công việc, phân công công việc cho các cán bộ công chức theo đúng quy trình phân công công việc. Theo anh/chị,",bước 1,ông Bình cần làm gì?,Xác định công việc cần thực hiện để triển khai tham vấn,"Đối chiếu năng lực của từng cán bộ, công chức tham gia triển khai kế hoạch tham vân",1
,,,,Tập đoàn Than và khoáng sản,,,,,"Ráp nối từng công việc của kế hoạch tham vấn với cán bộ, công chức phù hợp",
,,,,Hiệp hội doanh nghiệp Nhật Bản,,,,,Xác định mục tiêu của kế hoạch tham vấn,
,,,,Hiệp hội doanh nghiệp Trung Quốc,,,,,Lập kế hoạch tham vấn và liên hệ với đối tác,
,,,,,,buớc 2,,"Đối chiếu năng lực của từng cán bộ, công chức tham gia triển khai kế hoạch tham vấn",Xác định công việc cần thực hiện để triển khai tham vấn,1
,,,,,,,,,"Ráp nối từng công việc của kế hoạch tham vấn với cán bộ, công chức phù hợp",
,,,,,,,,,Đối chiếu kế hoạch tham vấn với nhiệm vụ của Cục,
,,,,,,,,,Sắp xếp các công việc của kế hoạch theo trình tự ưu tiên,
,,,,,,bước 3,,"Ráp nối từng công việc của kế hoạch tham vấn với cán bộ, công chức phù hợp",Xác định công việc cần thực hiện để triển khai tham vấn,1
,,,,,,,,,"Đối chiếu năng lực của từng cán bộ, công chức tham gia triển khai kế hoạch tham vấn",
,,,,,,,,,Sắp xếp các công việc của kế hoạch theo trình tự ưu tiên,
,,,,,,,,,Ráp nối chức năng của Cục và nhiệm vụ của kế hoạch tham vấn,
,,,,,,,,,Ráp nối các nhóm công việc trong kế hoạch tham vấn,
59,"Điểm 2 Mục I phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 115",Bài tập quản lý,"Ông Nguyễn.V.Hoàng-Chi cục trưởng Chi cục Kiểm tra sau thông quan (KTSTQ), Cục Hải quan X được lãnh đạo Cục giao nhiệm vụ chịu trách nhiệm chính lập kế hoạch nghiên cứu triển khai công cụ kế toán, kiểm toán và phân công công việc cụ thể cho các công chức thực hiện. Ông Hoàng thực hiện theo đúng quy trình phân công công việc và đang thực hiện bước",1,"Theo anh/chị, bước này ông Hoàng cần làm rõ các vấn đề gì?",,,"Hình dung tất cả công việc cần phải làm để xây dựng được công cụ kế toán, kiểm toán của Cục","Hình dung công việc gì cần phải phân công cho cán bộ, công chức Chi cục KTSTQ",3
,,,,,,,,Sắp xếp trình tự công việc trong kế hoạch theo tính chất ưu tiên và quan trọng,"Sắp xếp yêu cầu, mong đợi và ước lượng thời gian hoàn thành kế hoạch",
,,,,,,,,Nhóm công việc trong kế hoạch theo các tiêu chí đặc thù,"Xác định cán bộ, công chức Chi cục KTSTQ phù hợp để giao việc",
,,,,2,,,,"Nấm vững thông tin tay nghề, năng lực cán bộ, công chức Chi cục KTSTQ","Nắm rõ yêu cầu, mong đợi và ước lượng thời gian hoàn thành kế hoạch",3
,,,,,,,,"Nắm rõ tính tình, cách hành xử của từng cán bộ, công chức Chi cục KTSTQ",Nấm rõ bản mô tả công việc các vị trí việc làm tại Chi cục KTSTQ,
,,,,,,,,"Nắm rõ mảng công việc chính của từng cán bộ, công chức Chi cục KTSTQ",,
,,,,,,,,"Nắm rõ lượng công việc hiện tại của từng cán bộ, công chức Chi cục KTSTQ",,
,,,,3,,,,Xác định công việc gì trong kế hoạch cần phải phân công,Xác định tất cả công việc phải làm,3
,,,,,,,,"Cán bộ, công chức nào là người phù hợp để giao việc",Nhóm công việc theo các tiêu chí đặc thù,
,,,,,,,,"Nêu rõ yêu cầu, mong đợi của công việc đôi với từng cán bộ, công chức",Ước lượng khối lượng công việc,
,,,,,,,,Ước lượng thời gian hoàn thành,,
,,,,,,,,Giao việc cho các công chức của Chi cục và cung cấp đầy đủ thông tin cần thiết,,
60,"Điểm 3 mục I phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 117",Bài tập quản lý,"Ngày 20/01/2020, anh Lê.V.Hải được lãnh đạo đội giao việc. Công việc này anh chưa thực hiện bao giờ. Khi lãnh đạo giao việc đã đồng thời cung cấp cho anh","Sổ tay nghiệp vụ kế toán thuế và quản lý nợ thuế, gồm: Cách thức thực hiện, nguồn lực thực hiện, Tần suất thực hiện","Theo anh/chị, đây là loại công việc gì?",,,Công việc thường xuyên,Công việc không thường xuyên,1
,,,,,,,,,Công việc cụ thể,
,,,,,,,,,Công việc không cụ thể,
,,,,,,,,,Công việc trọng tâm,
,,,,Phiếu giao việc trên hệ thống Edocs; Giải thích lý do giao việc và hướng dẫn cách thức thực hiện,,,,Công việc không thường xuyên,Công việc thường xuyên,1
,,,,,,,,,Công việc cụ thể,
,,,,,,,,,Công việc không cụ thể,
,,,,,,,,,Công việc trọng tâm,
61,"Điểm 4 mục I phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 117",Bài tập quản lý,"Ngày 20/5/2020, Đội trưởng Đội Nghiệp vụ Nguyễn Văn A giao cho anh Lê Văn B triển khai một cấu phần của kế hoạch ứng dụng phần mềm quản lý hàng miễn thuế trên địa bàn Chi cục Hải quan X quản lý. Anh A cần chú ý","điều gì để giao việc cho anh B một cách tập trung, rõ ràng?",,,,Không vừa giao việc cho anh B vừa gọi điện cho người khác,Không truyền đạt kinh nghiệm cho anh B,3
,,,,,,,,Không vừa giao việc cho anh B vừa kiểm tra email của công chức khác,Không nói rõ về thời hạn hoàn thành cấu phần của kế hoạch cho anh B,
,,,,,,,,Không vừa giao việc cho anh B vừa nhắn tin cho đồng chí Phó Chi cục trưởng,,
,,,,điều gì để truyền đạt rõ ràng thời gian thực hiện công việc?,,,,Nói rõ với anh B về thời hạn hoàn thành cấu phần được giao,Nói cho anh B biết về thời gian giao việc,2
,,,,,,,,Nói cho anh B về ngày kiểm tra tiến độ triển khai các cấu phần kế hoạch,Nói cho anh B biết về ngày lập kế hoạch giao việc,
,,,,,,,,,Nói cho anh B biết về cách xử lý công việc khi quá thời hạn,
,,,,điều gì khi thông báo cho anh B điều kiện hoàn thành?,,,,Yêu cầu anh B diễn tả kết quả cấu phần kế hoạch anh A muốn anh B đạt được bằng chính ngôn ngữ của anh B,Yêu cầu anh B diễn tả tả lại điều anh B kỳ vọng ở kế hoạch này,3
,,,,,,,,Lượng thời gian trao đổi tỷ lệ thuận với mức độ phức tạp của cấu phần kế hoạch anh B thực hiện,Lượng thời gian trao đổi tỷ lệ nghịch với mức độ phức tạp của cấu phần kế hoạch anh B thực hiện,
,,,,,,,,Anh A và anh B cần thảo luận kỹ lưỡng yêu cầu thành công của kết quả đầu ra,Đe có thời gian triển khai cấu phần kế hoạch phức tạp nên cần tiết kiệm thời gian trao đổi về điều kiện hoàn thành công việc,
,,,,,,,,Nêu rõ kết quả đạt cần đạt được của cấu phần là gì,,
,,,,,,,,Nêu rõ các yêu cầu về chất lượng của cấu phần anh B xây dựng,,
,,,,điều gì để đảm bảo anh B lăng nghe nhiệt tình?,,,,Cần đảm bảo anh B tập trung vào câu hỏi,Cần đảm bảo anh B có thể làm nhiều việc cùng một lúc không,3
,,,,,,,,Đe ý xem anh B có đang vội không,Để ý xem anh B có cần sự hỗ trợ trong công việc không,
,,,,,,,,Để ý xem anh B có thực sự lắng nghe không,,
,,,,,,,,Cần đảm bảo anh B có đủ trình độ thực hiện công việc để hiểu những gì anh A đang trao đổi không,,
62,"Điểm 5 mục I phần II Chuyên đề 4 tài liệu bồi dưỡng lãnh đạo cấp Tổ, Đội trang 119",Bài tập quản lý,"Tháng 9/2020, Phòng nghiệp vụ - Cục Hải quan X được lãnh đạo Cục giao xử lý, triển khai rất nhiều công việc gấp. Phòng nghiệp vụ hiện chỉ có 4 thành viên, trong đó trưởng phòng là ông Nguyễn.M.Toàn, và 3 chuyên viên: Hoa, Mạnh, Dũng. Các Phó trưởng phòng và một số chuyên viên khác đã được cử đi công tác. Khi triển khai giao việc,",có một số trở ngại xuất phát từ phía ông Toàn,".Theo anh/chị, đó là trở ngại gì?",,,Ông Toàn cho ràng mình có thể làm việc này tốt hơn các chuyên viên,"Ông Toàn quá bận rộn, phải làm nhiều việc thay các phó phòng đi công tác",3
,,,,,,,,Ông Toàn không tin tưởng các chuyên viên khi giao các công việc gấp,Ông Toàn sợ các chuyên viên sẽ hoàn thành việc trước tiến độ,
,,,,,,,,Ông Toàn sợ các chuyên viên sẽ không thích nếu ông giao viêc,,
,,,,,,,,Ông Toàn không biết phải phân công chuyên viên nào xử lý,,
,,,,,,,,Ông Toàn không biết phải quản lý các việc đã phân công chuyên viên xử lý như thế nào,,
